hidden_size,num_layers,dropout,val_accuracy,parameters,train_time_s
64,1,0.1,0.7419354838709677,82829,11.51789140701294
64,1,0.2,0.7436332767402377,82829,11.801317691802979
64,1,0.3,0.7436332767402377,82829,11.821028709411621
64,1,0.4,0.7283531409168081,82829,11.866291046142578
64,1,0.5,0.7062818336162988,82829,11.739176034927368
64,2,0.1,0.831918505942275,157325,19.321603775024414
64,2,0.2,0.801358234295416,157325,18.408132791519165
64,2,0.3,0.7809847198641766,157325,18.663939476013184
64,2,0.4,0.7826825127334465,157325,18.56574273109436
64,2,0.5,0.7640067911714771,157325,18.57659649848938
64,3,0.1,0.8251273344651953,231821,25.7418372631073
64,3,0.2,0.8251273344651953,231821,25.44718647003174
64,3,0.3,0.8064516129032258,231821,25.54708743095398
64,3,0.4,0.8132427843803056,231821,25.26614999771118
64,3,0.5,0.8047538200339559,231821,25.34572458267212
128,1,0.1,0.7504244482173175,213901,12.489553689956665
128,1,0.2,0.7538200339558574,213901,12.04652714729309
128,1,0.3,0.769100169779287,213901,11.9252450466156
128,1,0.4,0.7606112054329371,213901,12.06048059463501
128,1,0.5,0.7487266553480475,213901,12.091375350952148
128,2,0.1,0.833616298811545,510349,19.968658924102783
128,2,0.2,0.8200339558573854,510349,19.172829627990723
128,2,0.3,0.8370118845500849,510349,19.21062445640564
128,2,0.4,0.7894736842105263,510349,19.36589550971985
128,2,0.5,0.7758913412563667,510349,19.337300300598145
128,3,0.1,0.8607809847198642,806797,26.913810968399048
128,3,0.2,0.8522920203735145,806797,26.484688997268677
128,3,0.3,0.8404074702886248,806797,26.493732929229736
128,3,0.4,0.8132427843803056,806797,26.21101427078247
128,3,0.5,0.8251273344651953,806797,26.343040943145752
256,1,0.1,0.799660441426146,623501,12.943302392959595
256,1,0.2,0.8132427843803056,623501,12.771055459976196
256,1,0.3,0.7945670628183361,623501,12.770356893539429
256,1,0.4,0.801358234295416,623501,12.75783658027649
256,1,0.5,0.8064516129032258,623501,12.755025148391724
256,2,0.1,0.8556876061120543,1806221,28.654399871826172
256,2,0.2,0.8556876061120543,1806221,28.559803009033203
256,2,0.3,0.8556876061120543,1806221,28.736769199371338
256,2,0.4,0.8590831918505942,1806221,28.709418535232544
256,2,0.5,0.8183361629881154,1806221,28.495308876037598
256,3,0.1,0.8828522920203735,2988941,46.04803013801575
256,3,0.2,0.8794567062818336,2988941,45.88593602180481
256,3,0.3,0.8964346349745331,2988941,46.02437710762024
256,3,0.4,0.8641765704584041,2988941,43.50463247299194
256,3,0.5,0.8488964346349746,2988941,45.85025668144226
